JR AUTO PECAS - MATRIZ

CONTAGEM DE ESTOQUE 15/07/2026 10:22

Departamento do Produto : TODOS
Empresa : 001-JR AUTO PECAS - MATRIZ
Fornecedor : TODOS
Produto : TODOS
Marca : TODOS
Unidade : TODOS
Descrição : TODOS
Exibir Saldo Reservado : NÃO
Exibir Saldo : SIM
Exibir Saldo ML/GR : NÃO
Exportação para E-Commerce : TODOS
Grupo de Compra : TODOS
Exibir Ítem : TODOS
Imprime Lista : TODOS
Linha/Grupo Final : TODOS
Linha/Grupo Inicial : TODOS
Localização Física Final : B 0350
Localização Física Inicial : B 0001
Saldos dos Lotes : TODOS
Status do Lote : TODOS
Lote : TODOS
Opção : ALFABÉTICA
Quebrar Página : NÃO
Quebrar Unidade : NÃO
Saldos : TODOS
Status : TODOS
Referência Inicial : TODOS
Referência Final : TODOS
Localização Super Estoque Final : TODOS
Localização Super Estoque Inicial : TODOS
Lote : TODOS OS ÍTENS
Destino : CSV

CÓDIGO;DESCRIÇÃO;UN.;REFERÊNCIA;LOC.FÍSICA;SALDO;;;;;
"08680";"CONEX T P/ MANG 5200137 60693D 1200DEW";"PC";"8680";"B 0214";97,00;"______________";"";"";"";""
"11639";"CONEX T P/ RESERV LIMP P/B GOL 5200781 9610DEW 13520D";"PC";"11639";"B 0050";28,00;"______________";"";"";"";""
"17182";"CONTRA PINO GOL/MZ 69833";"PC";"17182";"B 0044";94,00;"______________";"";"";"";""
"24202";"COX AMORT DIANT FOX 03/05 (S/ROL) J18566-3 M13652 MR20541 6Q0412331A";"PC";"24202";"B 0013";3,00;"______________";"";"";"";""
"29516";"COX AMORT DIANT FOX 06/ POLO 02/ (C/ROL/BAT/CF) J74049-7 M13264 MR1490 0221551A 6Q0412331B";"PC";"29516";"B 0186";9,00;"______________";"";"";"";""
"28066";"COX AMORT NOVO UNO/NOVO PALIO/GRAN SIENA/MOBI/CRONUS/STRADA 20/ (C/ROL) 0222266A 51833942";"PC";"28066";"B 0325";13,00;"______________";"";"";"";""
"04386";"COX APOIO FEIXE MOLA FIAT B50032 M41081 J60338-9 SK156";"PC";"4386";"B 0092";2,00;"______________";"";"";"";""
"15007";"COX CAMB GOL/STNA 1.8 (B33108) 021582A";"PC";"15007";"B 0222";3,00;"______________";"";"";"";""
"05413";"COX DIANT MT ESC/LOG 93/ B37001 M33106 J10624-8";"PC";"5413";"B 0280";1,00;"______________";"";"";"";""
"04111";"COX ESCAP PST/GOL B33025 M12008 J30008-0 MR0427";"PC";"4111";"B 0042";30,00;"______________";"";"";"";""
"04449";"COX ESCAP UNO B50096 M41062 J60298-6";"PC";"4449";"B 0178";18,00;"______________";"";"";"";""
"21736";"COX INF CAMB UNO FIRE B50501 M42176 J59105-1 MR2359 SK3069 50312C 50017753 7091083";"PC";"21736";"B 0281";10,00;"______________";"";"";"";""
"04106";"COX MEN RAD PST/VOY/PAR B33021 M12026 J30030-1 SK430 MR430";"PC";"4106";"B 0280";3,00;"______________";"";"";"";""
"22623";"COX MT HIDR FOX/POLO 1.0/1.6 03/ B38007 J74011-4 6Q0199167J M13634";"PC";"22623";"B 0018";2,00;"______________";"";"";"";""
"05788";"COX MT OP 4CC 74/CHEV B10010 M22056 J4017-7 S10529 MR0328 SK328";"PC";"5788";"B 0315";3,00;"______________";"";"";"";""
"04526";"COX MT/CAMB TPRA B51001 M41198 J61007-3 SK1109";"PC";"4526";"B 0282";2,00;"______________";"";"";"";""
"04358";"COX SUP AMORT DIANT FIAT B50005 M41006 J60021-0 SK146";"PC";"4358";"B 0022";2,00;"______________";"";"";"";""
"13402";"COX SUSP DIANT TPRA B51005 M41200 J61009-7";"PC";"13402";"B 0284";1,00;"______________";"";"";"";""
"04450";"COX TRAS ESCAP UNO B50097 M41108 J60350-1";"PC";"4450";"B 0179";0,00;"______________";"";"";"";""
"39199";"ELETROBOMBA LINHA GM/RENAULT/TOYOTA (BICO FINO - ENCX RETO) DK0844 DS31011 DS31016 DS31021";"PC";"39199";"B 0234";3,00;"______________";"";"";"";""
"36557";"ELETROBOMBA LINHA VW/GM/FIAT (BICO FINO) BF12 DS31001 VCH313 ND82061";"PC";"36557";"B 0132";0,00;"______________";"";"";"";""
"36573";"ELETROBOMBA LINHA VW/GM/FIAT (BICO FINO) BF12 DS31001 VCH313 ND82061";"PC";"36573";"B 0132";7,00;"______________";"";"";"";""
"44497";"ELETROBOMBA LINHA VW/GM/FIAT (BICO FINO) BF12 DS31001 VCH313 ND82061";"PC";"";"B 0132";0,00;"______________";"";"";"";""
"46978";"ELETROBOMBA LINHA VW/GM/FIAT (BICO FINO) BF12 DS31001 VCH313 ND82061";"PC";"46978";"B 0132";0,00;"______________";"";"";"";""
"27094";"ENGR BBA OLEO  L200/H100/HR/L300/GALLOPER 2.5 I23117";"PC";"27094";"B 0016";1,00;"______________";"";"";"";""
"30260";"GUIA VALV CRUZE/TRACKER/SONIC 1.4/1.6/1.8 16V 112706040 GGM18A";"PC";"30260";"B 0308";13,00;"______________";"";"";"";""
"14347";"GUIA VALV GOL 1.0 16V/FOX/KBI 1.4/GOL GV/GVI/GVII (6MM) 725910 725010";"PC";"14347";"B 0070";232,00;"______________";"";"";"";""
"12617";"GUIA VALV GOL 86/ LONGO 238010 RIOSULENSE";"PC";"12617";"B 0025";67,00;"______________";"";"";"";""
"12620";"GUIA VALV MZ/CORS FASE II (7MM) 244040 140029";"PC";"12620";"B 0056";50,00;"______________";"";"";"";""
"08002";"GUIA VALV PST/GOL /85 CURTO 164010 103419 700080";"PC";"8002";"B 0075";7,00;"______________";"";"";"";""
"27412";"INJETOR COMB GOL GV 1.0 08/ BIW111 MP157111 032906031S 0280157111";"PC";"27412";"B 0243";2,00;"______________";"";"";"";""
"39582";"INJETOR COMB GOL GV 1.0 08/ BIW111 MP157111 032906031S 0280157111";"PC";"39582";"B 0243";0,00;"______________";"";"";"";""
"41454";"INJETOR COMB GOL GV 1.0 08/ BIW111 MP157111 032906031S 0280157111";"PC";"41454";"B 0243";13,00;"______________";"";"";"";""
"41677";"INJETOR COMB GOL GV 1.0 08/ BIW111 MP157111 032906031S 0280157111";"PC";"41677";"B 0243";1,00;"______________";"";"";"";""
"64706";"INJETOR COMB GOL GV 1.0 08/ BIW111 MP157111 032906031S 0280157111";"PC";"";"B 0243";1,00;"______________";"";"";"";""
"14529";"INJETOR COMB PALIO/FIO 1.0/1.5 IWP065 50101302 MBZ065 0280157512";"PC";"14529";"B 0155";31,00;"______________";"";"";"";""
"01139";"INT PRES OLEO CHEV/MZ/KDT ECH7185 13017 P4099 RH3399";"PC";"1139";"B 0164";2,00;"______________";"";"";"";""
"35132";"INT PRES OLEO CHEV/MZ/KDT ECH7185 13017 P4099 RH3399";"PC";"35132";"B 0164";0,00;"______________";"";"";"";""
"36136";"INT PRES OLEO CHEV/MZ/KDT ECH7185 13017 P4099 RH3399";"PC";"36136";"B 0164";1,00;"______________";"";"";"";""
"58891";"INT PRES OLEO CHEV/MZ/KDT ECH7185 13017 P4099 RH3399";"PC";"58891";"B 0164";2,00;"______________";"";"";"";""
"63717";"INT PRES OLEO CHEV/MZ/KDT ECH7185 13017 P4099 RH3399";"PC";"";"B 0164";1,00;"______________";"";"";"";""
"21493";"INT PRES OLEO CIVIC/H100/L200/HUNDAY TR4 08/ 13034 RH3380 ECH7278";"PC";"21493";"B 0226";3,00;"______________";"";"";"";""
"01143";"INT PRES OLEO CL/D.REY/ESC 13016 3RHO3344 ECH7189 P4044";"PC";"1143";"B 0149";2,00;"______________";"";"";"";""
"35133";"INT PRES OLEO CL/D.REY/ESC 13016 3RHO3344 ECH7189 P4044";"PC";"35133";"B 0149";0,00;"______________";"";"";"";""
"44378";"INT PRES OLEO CL/D.REY/ESC 13016 3RHO3344 ECH7189 P4044";"PC";"44378";"B 0149";4,00;"______________";"";"";"";""
"12010";"INT PRES OLEO CORSA/OMGA/AST/VCTRA/ETORQ 55354378 ECH7178 3RHO3374 D22153";"PC";"12010";"B 0146";21,00;"______________";"";"";"";""
"27987";"INT PRES OLEO FIESTA/KA/ECOSPORT ZETEC 08/ RANGER/FUSION 2.3/2.5 DURATEC 3RHO3351";"PC";"27987";"B 0307";5,00;"______________";"";"";"";""
"49508";"INT PRES OLEO FIESTA/KA/ECOSPORT ZETEC 08/ RANGER/FUSION 2.3/2.5 DURATEC 3RHO3351";"PC";"49508";"B 0307";1,00;"______________";"";"";"";""
"12321";"INT PRES OLEO GOL (PLUG) ECH7180 3RHO3372 D22131 0309190811 13013";"PC";"12321";"B 0114";0,00;"______________";"";"";"";""
